,height_m,crown_volume_m3,vol_fill_fraction,gap_fraction,leaf_voxel_density,ENL,FHD,LAD,leaf_area_cm2,leaf_thickness_mm,ldmc,toughness
height_m,1.0,0.7041675354973967,-0.5492052798186854,0.15182397744081216,-0.2052692749057887,0.9795272489241388,0.9687172837388962,-0.5216966698309919,-0.33660814770310526,0.24341726233757932,0.2911447076147133,0.20282480170829045
crown_volume_m3,0.7041675354973967,1.0,-0.5433737990238632,-0.30672628047174205,0.3270439181755375,0.7041410598561921,0.5887216761365923,0.0765305635717303,-0.14511366514645688,-0.2637012726360616,0.06182774022897727,-0.12877320648255206
vol_fill_fraction,-0.5492052798186854,-0.5433737990238632,1.0,-0.017721808236560464,0.22314400352258165,-0.532516662239099,-0.5370106386114186,0.15668356699691408,0.4412312153693567,-0.17378098503290518,0.20475933704111904,-0.18139909784852498
gap_fraction,0.15182397744081216,-0.30672628047174205,-0.017721808236560464,1.0,-0.687147134567006,0.1617925607961795,0.23719799369140226,-0.8172206438231074,0.14626816606307824,0.18330089936402044,0.2306243332665312,-0.013901479666450904
leaf_voxel_density,-0.2052692749057887,0.3270439181755375,0.22314400352258165,-0.687147134567006,1.0,-0.2542433853187212,-0.33547687823822536,0.6963072932155917,-0.03368485978346021,-0.41500824844740347,0.03645537940487561,-0.31337681459703554
ENL,0.9795272489241388,0.7041410598561921,-0.532516662239099,0.1617925607961795,-0.2542433853187212,1.0,0.9781649839730091,-0.5354339359403757,-0.28399526916779294,0.1870758427978008,0.25482421971162733,0.1894927400154361
FHD,0.9687172837388962,0.5887216761365923,-0.5370106386114186,0.23719799369140226,-0.33547687823822536,0.9781649839730091,1.0,-0.6340006522481649,-0.35015848106885394,0.2595207482347461,0.24438746778694856,0.23714371946068594
LAD,-0.5216966698309919,0.0765305635717303,0.15668356699691408,-0.8172206438231074,0.6963072932155917,-0.5354339359403757,-0.6340006522481649,1.0,0.006825234592144031,-0.24956431966002754,-0.2644264543838533,-0.14054948963704447
leaf_area_cm2,-0.33660814770310526,-0.14511366514645688,0.4412312153693567,0.14626816606307824,-0.03368485978346021,-0.28399526916779294,-0.35015848106885394,0.006825234592144031,1.0,-0.4914180497361693,0.12182714388659735,-0.4203927565592869
leaf_thickness_mm,0.24341726233757932,-0.2637012726360616,-0.17378098503290518,0.18330089936402044,-0.41500824844740347,0.1870758427978008,0.2595207482347461,-0.24956431966002754,-0.4914180497361693,1.0,0.23727200965786827,0.8466917823306519
ldmc,0.2911447076147133,0.06182774022897727,0.20475933704111904,0.2306243332665312,0.03645537940487561,0.25482421971162733,0.24438746778694856,-0.2644264543838533,0.12182714388659735,0.23727200965786827,1.0,0.31655865811383016
toughness,0.20282480170829045,-0.12877320648255206,-0.18139909784852498,-0.013901479666450904,-0.31337681459703554,0.1894927400154361,0.23714371946068594,-0.14054948963704447,-0.4203927565592869,0.8466917823306519,0.31655865811383016,1.0
