tree_id,numeric_id,distance_m,direction,species_short,species_long,is_needleleaf,is_broadleaf,leaf_type,attenuation_overall_db,attenuation_low_db,attenuation_mid_db,attenuation_high_db,species,height_m,crown_volume_m3,pts_per_voxel,vol_fill_fraction,densest_slice_height_m,gap_fraction,leaf_voxel_density,ENL,FHD,LAD,Species,leaf_area_cm2,leaf_thickness_mm,leaf_fresh_weight_g,leaf_dry_weight_g,ldmc,toughness,height_m_z,crown_volume_m3_z,vol_fill_fraction_z,gap_fraction_z,leaf_voxel_density_z,ENL_z,FHD_z,LAD_z,leaf_area_cm2_z,leaf_thickness_mm_z,ldmc_z,toughness_z
227_6.6_320NW,227,6.6,320NW,Lar dec,Larix decidua,True,False,needleleaf,-10.368882355216265,-1.4706278355388829,-2.1359209658958136,-11.358943895499324,Lar_dec,6.696,164.6464758085,58.2469727226377,0.071473309489664,3.25,0.474523704031901,2412,12.8943219461761,3.87057728719744,0.162938515053505,Larix decidua,0.14717142857142856,0.22599999999999998,0.0029142857142857143,0.0012285714285714285,0.42156862745098034,1.6380000000000003,-0.09409093215074979,-0.10047432541610697,-1.2493907650753986,1.1471022562705524,-1.0211569543230432,0.015272789916666063,0.3338757553285532,-0.7909630564817269,-0.75917933742942,-0.5732590449456989,-0.44757998691915507,-0.39121449539861336
232_6.2_230SW,232,6.2,230SW,Pru avi,Prunus avium,False,True,broadleaf,-19.528100905682443,-1.876973243255712,-3.0730653599901125,-21.440330085411908,Pru_avi,5.984,157.375360598667,23.0624916178314,0.136217414097126,3.25,0.128046078865751,4466,10.6697283384322,3.54013486067878,0.587247168201458,Prunus avium,36.9134,0.156,0.7857999999999999,0.3356,0.4270806821074065,0.754,-0.5471047120841915,-0.17216897094573197,0.6216665171807553,-1.7824640437648733,0.4929947519511947,-0.7279222820077015,-0.7244844641867045,1.3601067393673378,0.2616647189378636,-0.8131248197295884,-0.23291462146178557,-0.6534199827258083
247_8.2_318NW,247,8.2,318NW,Pop tre,Populus tremula,False,True,broadleaf,-13.073188065171278,-0.7763971262804318,-2.895178935058216,-14.318781983563882,Pop_tre,11.54,527.652255900834,13.6707014624827,0.0528181008062816,2.75,0.357554475058527,3726,21.8716740674777,4.55776319431636,0.155828416768227,Populus tremula,25.949599999999997,0.182,0.501,0.22360000000000002,0.44630738522954094,1.594,2.9879297841380033,3.478835034684451,-1.788512655333619,0.15809434796132155,-0.05251267874156872,3.0144380452045887,2.5348347398283884,-0.8270083210633257,-0.04275405067989669,-0.7240318176670009,0.5158637396964352,-0.40426544725652813
257_5_273W,257,5.0,273W,Pse men,Pseudotsuga menziesii,True,False,needleleaf,-1.8342606823279064,-5.029686225118778,-3.585848540346301,-1.5985676843731484,Pse_men,7.648,206.009576496334,25.7819964988964,0.111595924493686,0.55,0.340941512125535,4740,14.4852902286942,3.94609267074452,0.253186902377195,Pseudotsuga menziesii,0.28158333333333335,0.41,0.010944444444444444,0.004916666666666666,0.44923857868020306,2.13,0.5116241219175601,0.3073740934633053,-0.08987652912158073,0.01762704843832209,0.6949799357482449,0.5467855044364981,0.575740817117625,-0.33344097048178534,-0.7554472822414744,0.057245277343382056,0.6300182161182272,-0.2452811246237494
270_5.4_240SW,270,5.4,240SW,Aln glu,Alnus glutinosa,False,True,broadleaf,-11.870855195155682,0.2295392718505714,-3.5742921290697165,-12.91593165818684,Aln_glu,5.459,111.960390268167,39.5983171997405,0.178973854064107,2.05,0.309566250742721,4578,10.658933469946,3.53850609186112,0.358040657232806,Alnus glutinosa,23.638399999999997,0.21000000000000002,0.47519999999999996,0.19,0.39983164983164987,0.9720000000000001,-0.8811387492542155,-0.6199696322776272,1.8572963687108603,-0.24765965905921797,0.5755580387587481,-0.7315286454500349,-0.7297011796719385,0.19812430252861535,-0.1069263869447471,-0.628085507753445,-1.294120258277353,-0.5887584485206856
274_5.1_250W,274,5.1,250W,Pop tre,Populus tremula,False,True,broadleaf,-15.119887906109344,-4.599911262599804,-5.44250793709862,-16.308163180374493,Pop_tre,6.906,203.0022598065,30.3611917989088,0.123599076016773,3.95,0.335135135135135,4830,13.354951063479,3.83789469209755,0.280313189752111,Populus tremula,24.9802,0.186,0.4464,0.1998,0.4475806451612903,1.8559999999999999,0.039522682717259734,0.27772135136654996,0.25700577318934736,-0.03146751098155346,0.7613254340757432,0.1691603533676694,0.22919803918699494,-0.1959218861718142,-0.06967022529704181,-0.7103252019650643,0.5654504774209151,-0.3265529611934908
277_6.6_120SO,277,6.6,120SO,Pru avi,Prunus avium,False,True,broadleaf,-10.305001481009056,-0.5001897163433375,-4.936917414625842,-11.04093437583726,Pru_avi,7.343,228.096315996,22.7625406209822,0.108268934513511,2.25,0.227220848392619,5084,12.7476168028563,3.82682215012515,0.336780189557633,Prunus avium,33.1258,0.21200000000000002,0.6346,0.26080000000000003,0.41096753860699653,0.82,0.3175662527044988,0.5251537481154949,-0.18602410685304008,-0.9439133221118731,0.948567173800016,-0.03373865161660752,0.19373425786822648,0.09034250377811157,0.15649894322102914,-0.6212321999024767,-0.8604363087059389,-0.6338435549389363
281_5.8_190S,281,5.8,190S,Lar dec,Larix decidua,True,False,needleleaf,-11.195636593920868,-4.299383529495983,-1.0676304880290546,-12.351936044847506,Lar_dec,6.628,128.122053779167,36.1324335087776,0.090406887921421,1.05,0.371474717356193,2187,13.414712176762,3.84542955819651,0.253916531463847,Larix decidua,0.1937,0.22800000000000004,0.0045,0.0017500000000000003,0.38888888888888895,1.354,-0.13735629315562883,-0.4606124080896161,-0.7022241926331562,0.27579393304712374,-1.187020700141789,0.1891254223717484,0.25333114649566957,-0.32974205206749874,-0.7578874340322076,-0.5664057370947305,-1.7202829005784057,-0.47545245739060815
298_4.5_336NW,298,4.5,336NW,Abi gra,Abies grandis,True,False,needleleaf,-5.780932659030688,-0.5470999729377839,-3.417552579531144,-6.1185718727294285,Abi_gra,8.322,156.779981802,26.2599558376183,0.103216377298167,1.95,0.321678321678322,2792,15.8250573440769,4.09099252519286,0.241319836972513,Abies grandis,1.0618888888888889,0.876,0.07055555555555555,0.029222222222222222,0.4141732283464567,4.147999999999999,0.9404602001129809,-0.17803952457486005,-0.33203931594584885,-0.14524867416644258,-0.7410315169402728,0.9943766124090494,1.0398344971493982,-0.3936020955684231,-0.7337814677293414,1.6540660066189894,-0.7355916541519636,0.3532829855869733
327_9_170S,327,9.0,170S,Sal cap,Salix caprea,False,True,broadleaf,-21.85487481782793,-2.549485205797945,-3.10351204839501,-24.134515156866,Sal_cap,4.565,256.991095585167,14.6443311911128,0.110057456776526,2.15,0.0778443113772455,7189,8.39920798852352,3.16357965923234,1.00119390390401,Salix caprea,15.2476,0.21200000000000002,0.3792,0.1578,0.4161392405063291,1.2600000000000002,-1.4499509954065986,0.8100620352927439,-0.13433712121966734,-2.206934184271101,2.5003146624598362,-1.4864606185749187,-1.9305373607870173,3.4586458892384826,-0.33990373167090965,-0.6212321999024767,-0.659025882384694,-0.5033340363597895
332_5_55NO,332,5.0,55NO,Pin nig,Pinus nigra,True,False,needleleaf,-12.710025664130098,-0.917716966016938,-4.377619863154602,-13.769985552355967,Pin_nig,8.364,176.247259180167,23.0018837429638,0.127225001701722,1.95,0.266357495715294,3877,15.8474709905502,4.1094046691408,0.26591274445502,Pinus nigra,2.328133333333333,0.8099999999999999,0.169,0.08433333333333333,0.49901380670611434,10.580000000000002,0.9671829230865838,0.013911711346571591,0.36179237420694055,-0.6130019016762839,0.05880032400790057,1.0018645920314062,1.098805982487369,-0.26892620200542966,-0.6986231671571763,1.4279068475370362,2.568499994859139,2.2610948571803196
333_6_325NW,333,6.0,325NW,Pin nig,Pinus nigra,True,False,needleleaf,-12.036618386306882,-2.73923661425009,-2.994771048551934,-13.088948802979605,Pin_nig,6.285,136.313982040667,35.6479560324522,0.087600645599105,1.85,0.289722507708119,2517,11.9637978055252,3.68712296215506,0.346526345193269,Pinus nigra,2.10425,0.942,0.163,0.06758333333333334,0.4146216768916156,12.416,-0.35559186410671106,-0.37983836229838636,-0.7833225438232598,-0.41544411796289243,-0.9437538729409619,-0.29559790270379954,-0.2537024251382713,0.13975149145235205,-0.704839468883882,1.8802251657009423,-0.7181269559884338,2.8056754847060312
342_6.2_80O,342,6.2,80O,Pse men,Pseudotsuga menziesii,True,False,needleleaf,-9.893550560660932,-2.108485011407776,-3.038687577059163,-10.69723298997167,Pse_men,6.5,126.581692995167,26.4876688665872,0.104856913070913,0.75,0.418962289382188,5038,11.0058734030821,3.61278249220989,0.233550164989226,Pseudotsuga menziesii,0.21889473684210525,0.4720000000000001,0.008263157894736842,0.00368421052631579,0.44585987261146504,2.4379999999999997,-0.21879697269422518,-0.47580067250430574,-0.28462903167350545,0.6773147833795148,0.9146572524326281,-0.6156225097572261,-0.49180440531966524,-0.4329911266497091,-0.757187881797552,0.2696978207233989,0.4984354909409458,-0.15392446161834675
467_6.1_270W,467,6.1,270W,Til tom,Tilia tomentosa,False,True,broadleaf,-15.444859205425374,-1.0834818682429308,-1.6261204225538364,-17.051851493163877,Til_tom,6.223,157.0975691955,36.3087830511302,0.0954070296733449,2.35,0.395845136921624,3026,12.2279465181158,3.70118799913382,0.264780632169878,Tilia tomentosa,110.50540000000001,0.188,2.0646,0.8766,0.42458587619877947,0.8399999999999999,-0.3950396932582188,-0.17490804956111422,-0.557723752106993,0.48185272210276336,-0.5685332212887774,-0.20735076364472677,-0.20865410679380442,-0.27466554416593336,2.305006087232634,-0.703471894114096,-0.33007411197885916,-0.6279113040944296
