tree_id,numeric_id,distance_m,direction,species_short,species_long,is_needleleaf,is_broadleaf,leaf_type,attenuation_overall_db,attenuation_low_db,attenuation_mid_db,attenuation_high_db
227_6.6_320NW,227,6.6,320NW,Lar dec,Larix decidua,True,False,needleleaf,-10.368882355216265,-1.4706278355388829,-2.1359209658958136,-11.358943895499324
232_6.2_230SW,232,6.2,230SW,Pru avi,Prunus avium,False,True,broadleaf,-19.528100905682443,-1.8769732432557116,-3.0730653599901125,-21.440330085411908
247_8.2_318NW,247,8.2,318NW,Pop tre,Populus tremula,False,True,broadleaf,-13.073188065171278,-0.7763971262804318,-2.895178935058216,-14.318781983563882
257_5_273W,257,5.0,273W,Pse men,Pseudotsuga menziesii,True,False,needleleaf,-1.8342606823279064,-5.029686225118778,-3.585848540346301,-1.5985676843731484
270_5.4_240SW,270,5.4,240SW,Aln glu,Alnus glutinosa,False,True,broadleaf,-11.870855195155682,0.2295392718505714,-3.5742921290697165,-12.915931658186839
274_5.1_250W,274,5.1,250W,Pop tre,Populus tremula,False,True,broadleaf,-15.119887906109344,-4.599911262599804,-5.44250793709862,-16.308163180374493
277_6.6_120SO,277,6.6,120SO,Pru avi,Prunus avium,False,True,broadleaf,-10.305001481009057,-0.5001897163433375,-4.936917414625842,-11.04093437583726
281_5.8_190S,281,5.8,190S,Lar dec,Larix decidua,True,False,needleleaf,-11.195636593920868,-4.299383529495983,-1.0676304880290546,-12.351936044847506
298_4.5_336NW,298,4.5,336NW,Abi gra,Abies grandis,True,False,needleleaf,-5.780932659030688,-0.5470999729377839,-3.417552579531144,-6.1185718727294285
327_9_170S,327,9.0,170S,Sal cap,Salix caprea,False,True,broadleaf,-21.85487481782793,-2.549485205797945,-3.10351204839501,-24.134515156865998
332_5_55NO,332,5.0,55NO,Pin nig,Pinus nigra,True,False,needleleaf,-12.710025664130098,-0.917716966016938,-4.377619863154602,-13.769985552355967
333_6_325NW,333,6.0,325NW,Pin nig,Pinus nigra,True,False,needleleaf,-12.036618386306882,-2.73923661425009,-2.994771048551934,-13.088948802979605
342_6.2_80O,342,6.2,80O,Pse men,Pseudotsuga menziesii,True,False,needleleaf,-9.893550560660932,-2.1084850114077756,-3.038687577059163,-10.69723298997167
467_6.1_270W,467,6.1,270W,Til tom,Tilia tomentosa,False,True,broadleaf,-15.444859205425374,-1.0834818682429308,-1.6261204225538364,-17.051851493163877
499_4.6_40NO,499,4.6,40NO,Til tom,Tilia tomentosa,False,True,broadleaf,-15.413785621927108,-7.103316620624121,-13.78810695293361,-15.753481774356972
502_3.8_46NO,502,3.8,46NO,Ced deo,Cedrus deodara,True,False,needleleaf,-2.8050124519563435,-0.3114858031055756,-2.02155344600602,-2.9368757481019916
518_4.6_0N,518,4.6,0N,Til tom,Tilia tomentosa,False,True,broadleaf,-19.244319934989743,-12.398169147435734,-10.878076599038558,-20.21158614801875
