spec_names,position,"height [m]"
Abi_alb_109,"(0.9,0.95]","5,189"
Abi_alb_228,"(1.7,1.75]","6,035"
Abi_alb_300,"[0,0.05]","6,099"
Abi_gra_298,"(2,2.05]","10,229"
Abi_gra_344,"(1,1.05]","7,003"
Abi_gra_9,"(0.65,0.7]","9,402000000000001"
Ace_neg_158,"(2.45,2.5]","7,569"
Ace_neg_262,"(2.05,2.1]","5,466"
Ace_neg_265,"(4.25,4.3]","8,597"
Ace_pla_108,"(2.75,2.8]","6,282"
Ace_pla_241,"(2.9,2.95]","5,635"
Ace_pla_296,"(3.75,3.8]","8,885"
Ace_pse_175,"(3.65,3.7]","6,831"
Ace_pse_311,"(5.45,5.5]","7,716"
Ace_pse_315,"(2.1,2.15]","5,372"
Aes_hip_221,"(4.7,4.75]","6,928"
Aes_hip_259,"(3.1,3.15]","5,058"
Aes_hip_294,"(4,4.05]","5,044"
Aln_glu_270,"(2.2,2.25]","7,239"
Aln_glu_313,"(4.3,4.35]","8,42"
Aln_glu_97,"(2.2,2.25]","8,251"
Bet_pen_137,"(1.7,1.75]","10,88"
Bet_pen_340,"(3.35,3.4]","9,25"
Bet_pen_352,"(3.3,3.35]","11,217"
Car_bet_280,"(2.15,2.2]","6,925"
Cas_sat_217,"(1.6,1.65]","4,882"
Cas_sat_229,"(2.25,2.3]","6,571"
Cas_sat_286,"(1.6,1.65]","5,407"
Ced_deo_112,"(1.95,2]","7,887"
Ced_deo_138,"(0.95,1]","7,426"
Ced_deo_502,"(1.8,1.85]","8,748"
Cor_col_264,"(1.25,1.3]","5,497"
Cor_col_319,"[0,0.05]","5,129"
Cor_col_98,"(3.3,3.35]","6,528"
Fag_syl_155,"(3.85,3.9]","8,189"
Fag_syl_245,"(3.15,3.2]","7,536"
Fag_syl_271_abgeschnitten,"(0.45,0.5]","5,214"
Fra_exc_11,"(4.4,4.45]","6,666"
Fra_exc_268,"(2.7,2.75]","8,39"
Jug_reg_31,"(1.6,1.65]","3,871"
Jug_reg_321,"(0.65,0.7]","7,033"
Lar_dec_227,"(3.25,3.3]","9,807"
Lar_dec_281,"[0,0.05]","8,764"
Lar_dec_86,"(1.4,1.45]","8,946"
Pic_abi_395,"(1.5,1.55]","8,399000000000001"
Pic_abi_482,"(1.4,1.45]","7,447"
Pic_abi_507,"(0.1,0.15]","7,965"
Pic_sit_223,"(1,1.05]","7,458"
Pic_sit_305,"(1.25,1.3]","7,249000000000001"
Pic_sit_391,"(1.25,1.3]","5,308"
Pin_nig_332,"(2.1,2.15]","10,577"
Pin_nig_333,"(2.15,2.2]","8,055"
Pin_nig_96,"(1.65,1.7]","7,796"
Pin_pon_236,"(1.9,1.95]","9,127"
Pin_pon_320,"(2.75,2.8]","7,486"
Pin_pon_320_2,"(2.65,2.7]","7,573"
Pin_pon_50,"(2.25,2.3]","6,121"
Pin_syl_216,"(2.35,2.4]","7,751"
Pin_syl_266,"(3.2,3.25]","10,775"
Pin_syl_309,"(1.6,1.65]","6,758"
Pla_ace_357,"(3.25,3.3]","6,192"
Pla_ace_428,"(1.9,1.95]","7,531000000000001"
Pla_ace_488,"(1.9,1.95]","5,731"
Pop_tre_173,"(3.1,3.15]","13,478"
Pop_tre_247,"(3.05,3.1]","14,089"
Pop_tre_274,"(4.35,4.4]","8,790000000000001"
Pru_avi_186,"(3.25,3.3]","8,972"
Pru_avi_232,"(3.4,3.45]","7,534"
Pru_avi_277,"(2.45,2.5]","9,613"
Pse_men_257,"(0.6,0.65]","9,336"
Pse_men_342,"[0,0.05]","7,931"
Pse_men_87,"(3.4,3.45]","10,406"
Que_pub_371,"(1.3,1.35]","4,922"
Que_pub_483,"(1,1.05]","8,203"
Que_pub_516,"(1.6,1.65]","5,763"
Que_pub_516_2,"(1.55,1.6]","5,737"
Que_rob_156,"(1.1,1.15]","8,193"
Que_rob_251,"(2.4,2.45]","7,305"
Que_rob_292,"(1.45,1.5]","6,71"
Rob_pse_129,"(4.6,4.65]","11,561"
Rob_pse_246,"(2.95,3]","9,283"
Rob_pse_312,"(3.1,3.15]","6,589"
Sal_cap_327,"(2.1,2.15]","5,349"
Sal_cap_353,"(1.8,1.85]","6,07237089423802"
Sal_fra_121,"(1.95,2]","4,24"
Sal_fra_341,"(1.8,1.85]","4,122"
Sal_fra_345,"(1.85,1.9]","4,111"
Sor_auc_123,"(2.85,2.9]","6,137"
Sor_auc_220,"(2.15,2.2]","6,333"
Sor_auc_250,"(1.85,1.9]","5,074"
Sor_dom_129,"(1.5,1.55]","6,519"
Sor_dom_253,"(2.85,2.9]","6,348"
Sor_dom_337,"(3.05,3.1]","6,974"
Sor_tor_235,"(2.5,2.55]","5,509"
Sor_tor_289,"(2.55,2.6]","5,793"
Sor_tor_77,"(1.95,2]","5,767"
Tax_bac_140,"(1.25,1.3]","3,477"
Tax_bac_324,"(1.05,1.1]","5,536"
Tax_bac_78,"(1.1,1.15]","4,073"
Thu_occ_110,"(1.15,1.2]","5,709000000000001"
Thu_occ_267,"(1.65,1.7]","5,504"
Thu_occ_339,"(0.4,0.45]","5,239"
Til_cor_409,"(1.35,1.4]","5,809"
Til_cor_517,"(2.55,2.6]","6,253"
Til_cor_524,"(1,1.05]","5,604"
Til_tom_467,"(2.65,2.7]","7,753"
Til_tom_499,"(2.3,2.35]","6,107"
Til_tom_518,"(3,3.05]","6,969"
Tsu_can_164,"(1.35,1.4]","5,681"
Tsu_can_256,"(1.05,1.1]","5,917449776677273"
Tsu_can_348,"(0.65,0.7]","4,75"
Ulm_lae_139,"(5.5,5.55]","12,768"
Ulm_lae_145,"(3.7,3.75]","9,178"
Ulm_lae_170,"(2.3,2.35]","8,626"
Ulm_lae_170_2,"(2.3,2.35]","8,637811695131091"
Ulm_min_141,"(3.3,3.35]","8,152000000000001"
Ulm_min_183,"(5.4,5.45]","9,176"
Ulm_min_213,"(5.1,5.15]","7,455"
