tree_id,alpha_median,dB_median
227_6.6_320NW,2.7467,8.78
232_6.2_230SW,2.5964,8.29
247_8.2_318NW,2.4791,7.89
257_5_273W,1.7029,4.62
270_5.4_240SW,2.1063,6.47
274_5.1_250W,1.8946,5.55
277_6.6_120SO,1.9207,5.67
281_5.8_190S,2.1974,6.84
298_4.5_336NW,1.7744,4.98
313_4.6_20N,2.5410,8.10
327_9_170S,3.9080,11.84
332_5_55NO,2.0577,6.27
333_6_325NW,2.5521,8.14
342_6.2_80O,2.0538,6.25
344_3.15_261W,1.8023,5.12
467_6.1_270W,2.2019,6.86
499_4.6_40NO,1.6302,4.24
502_3.8_46NO,1.5073,3.56
518_4.6_0N,1.6532,4.37
353_8.1_255W,4.8499,13.71
